user_id,gender,married,has_children,home_country,home_city,home_airport,user_age,account_age,total_sessions,avg_session_duration,avg_page_clicks,avg_clicks_per_min,avg_seats,avg_checked_bags,num_trip_discounts,avg_trip_discount_amount,total_airlines,top_airline,total_origin_airports,total_destinations,top_destination,total_destination_airports,avg_rooms,total_hotels,total_hotel_brands,top_hotel_brand,total_trips,avg_trip_duration_days,avg_trip_distance_km,avg_base_trip_cost,avg_total_trip_cost,type_browsing,type_complete-package,type_flight-hotel,type_flight-one-way,type_flight-roundtrip,type_hotel-only,status_cancelled,status_complete,status_none,category_extended,category_other,category_week,category_weekend,browsing_frequency,booking_frequency,booking_conversion,cancellation_rate
258451,f,False,False,usa,miami,opf,24,29,8,3.66,20.88,7.48,0.0,0.0,1,0.15,0,,0,0,,0,0.25,1,1,banyan tree,2,3.5,,623.0,623.0,6,1,0,0,0,1,1,1,6,2,0,0,0,0.28,0.07,0.25,0.5
264470,f,False,True,usa,bakersfield,bfl,46,29,8,1.85,14.75,8.0,0.25,0.12,2,0.08,2,delta air lines,1,2,new york,2,0.25,2,2,four seasons,2,1.62,2305.16,425.0,418.0,6,2,0,0,0,0,0,2,6,2,0,0,0,0.28,0.07,0.25,0.0
276512,f,True,True,usa,austin,aus,42,28,8,1.52,12.25,8.1,0.12,0.12,3,0.17,1,united airlines,1,1,philadelphia,1,0.12,1,1,wyndham,1,0.5,2299.15,74.46,74.46,7,1,0,0,0,0,0,1,7,0,1,0,0,0.29,0.04,0.12,0.0
281952,f,False,False,usa,louisville,lou,37,28,8,2.44,19.75,8.09,0.25,0.38,1,0.15,2,delta air lines,1,2,calgary,2,0.25,2,2,aman resorts,2,0.75,1845.02,151.34,140.92,6,2,0,0,0,0,0,2,6,0,0,2,0,0.29,0.07,0.25,0.0
283325,f,True,False,usa,dallas,dal,51,28,8,1.76,14.25,8.06,0.12,0.0,3,0.08,1,air canada,1,1,quebec,1,0.38,2,2,starwood,2,1.25,2650.43,458.78,420.18,6,1,0,0,0,1,0,2,6,1,0,1,0,0.29,0.07,0.25,0.0
290123,f,True,False,usa,houston,hou,41,28,8,2.63,21.38,8.09,1.25,0.75,0,,5,united airlines,1,6,denver,6,1.12,5,5,aman resorts,6,3.12,2418.07,959.72,959.72,2,4,1,0,1,0,0,6,2,2,2,2,0,0.29,0.21,0.75,0.0
297546,f,True,False,usa,new york,jfk,52,28,8,3.22,25.88,8.01,0.75,0.38,1,0.05,2,southwest airlines,1,4,chicago,4,0.88,5,4,rosewood,5,4.62,1784.73,638.46,627.96,3,4,0,0,0,1,0,5,3,4,0,1,0,0.29,0.18,0.62,0.0
298253,f,True,True,usa,los angeles,lax,47,28,8,1.53,12.25,7.95,0.12,0.25,2,0.3,1,allegiant air,1,1,new york,1,0.0,0,0,,1,0.38,3974.21,89.05,89.05,7,0,0,0,1,0,0,1,7,0,0,1,0,0.29,0.04,0.12,0.0
299476,f,True,False,usa,atlanta,atl,39,28,9,2.57,20.78,8.15,0.11,0.0,3,0.22,1,airtran airways,1,1,houston,1,0.11,1,1,radisson,1,0.44,1109.92,37.15,37.15,8,1,0,0,0,0,0,1,8,0,0,1,0,0.32,0.04,0.11,0.0
306165,f,False,False,usa,cleveland,cle,21,28,8,1.38,11.12,8.08,0.0,0.0,0,,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,8,0,0,0,0,0,0,0,8,0,0,0,0,0.29,0.0,0.0,
306819,f,True,True,usa,new york,jfk,60,28,8,17.7,41.12,7.12,0.38,0.12,2,0.05,2,westjet,1,2,hamilton,2,0.38,2,2,intercontinental,3,1.25,486.39,192.02,192.02,5,3,0,0,0,0,1,2,5,0,0,3,0,0.29,0.11,0.38,0.33
312488,m,True,False,usa,new york,jfk,31,27,7,1.01,8.0,7.97,0.0,0.0,2,0.22,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,7,0,0,0,0,0,0,0,7,0,0,0,0,0.26,0.0,0.0,
313724,f,False,False,usa,tulsa,tul,52,27,8,18.5,43.88,7.24,0.75,0.5,0,,4,american airlines,1,4,los angeles,4,1.0,5,5,marriott,6,4.0,1824.39,645.54,645.54,2,5,0,0,0,1,1,5,2,3,0,3,0,0.3,0.22,0.75,0.17
316527,f,True,True,canada,winnipeg,ywg,42,27,8,2.17,17.38,8.01,0.62,0.12,2,0.1,4,air canada,1,4,new york,4,0.62,4,4,hilton,4,2.62,2014.8,938.86,935.18,4,4,0,0,0,0,0,4,4,1,3,0,0,0.3,0.15,0.5,0.0
317688,f,False,True,usa,indianapolis,ind,41,27,8,2.07,16.62,8.06,0.5,0.25,3,0.18,3,united airlines,1,4,chicago,4,0.5,4,4,accor,4,1.88,1608.41,373.47,369.7,4,4,0,0,0,0,0,4,4,2,0,1,1,0.3,0.15,0.5,0.0
322867,f,False,False,usa,mobile,bfm,47,27,8,1.28,10.25,7.95,0.12,0.12,3,0.15,1,american airlines,1,1,austin,1,0.12,1,1,hilton,1,1.12,921.78,210.63,210.63,7,1,0,0,0,0,0,1,7,1,0,0,0,0.3,0.04,0.12,0.0
324191,f,False,False,usa,san diego,san,40,27,8,1.34,10.75,8.12,0.38,0.12,2,0.18,2,airtran airways,1,1,los angeles,2,0.38,2,2,extended stay,2,1.75,175.77,213.72,213.72,6,2,0,0,0,0,0,2,6,1,1,0,0,0.3,0.07,0.25,0.0
328590,f,False,False,usa,san diego,nzy,56,27,8,18.09,47.88,7.22,0.75,0.12,3,0.13,3,westjet,1,3,new york,3,0.5,2,2,rosewood,4,2.12,3487.21,670.2,609.13,4,3,0,0,1,0,1,3,4,2,1,0,1,0.3,0.15,0.5,0.25
330764,f,False,False,usa,detroit,det,39,27,8,17.68,46.88,7.22,0.75,0.25,1,0.05,1,westjet,1,1,ottawa,1,0.25,2,2,accor,4,1.62,671.43,263.0,260.66,4,1,0,0,1,2,1,3,4,2,1,1,0,0.3,0.15,0.5,0.25
330893,f,True,True,usa,oklahoma city,okc,44,27,8,2.07,16.62,8.02,0.38,0.25,1,0.05,3,delta air lines,1,3,houston,3,0.38,3,3,choice hotels,3,1.62,1582.8,239.2,239.2,5,3,0,0,0,0,0,3,5,1,1,1,0,0.3,0.11,0.38,0.0
331039,f,True,True,canada,london,yxu,45,27,8,10.17,24.75,7.13,1.0,0.75,3,0.08,1,american airlines,1,1,los angeles,1,0.5,1,1,aman resorts,2,2.75,3365.3,1042.97,990.82,6,2,0,0,0,0,1,1,6,2,0,0,0,0.3,0.07,0.25,0.5
334787,f,False,False,usa,minneapolis,msp,53,27,8,1.85,14.88,8.01,0.38,0.25,2,0.05,3,air canada,1,3,boston,3,0.38,3,3,best western,3,1.5,1394.8,251.27,247.21,5,3,0,0,0,0,0,3,5,1,0,1,1,0.3,0.11,0.38,0.0
337227,f,True,False,usa,santa ana,sna,35,27,8,1.28,10.38,8.22,0.0,0.0,1,0.05,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,8,0,0,0,0,0,0,0,8,0,0,0,0,0.3,0.0,0.0,
338086,f,False,True,usa,washington,iad,41,27,7,2.01,16.14,8.02,0.14,0.0,1,0.3,1,airtran airways,1,1,san diego,1,0.14,1,1,shangri-la,1,0.71,3621.95,124.69,124.69,6,1,0,0,0,0,0,1,6,1,0,0,0,0.26,0.04,0.14,0.0
340166,m,True,True,usa,san francisco,sfo,51,27,8,1.36,11.0,8.1,0.0,0.0,2,0.1,0,,0,0,,0,0.12,1,1,banyan tree,1,0.38,,88.88,88.88,7,0,0,0,0,1,0,1,7,0,0,1,0,0.3,0.04,0.12,0.0
343928,f,True,False,usa,el paso,bif,65,27,8,1.88,15.25,8.07,0.38,0.12,3,0.23,2,jetstar pacific,1,2,ho chi minh city,2,0.12,1,1,intercontinental,2,2.25,8138.69,751.83,624.09,6,1,0,0,1,0,0,2,6,2,0,0,0,0.3,0.07,0.25,0.0
347778,f,False,False,usa,las vegas,lsv,50,26,9,2.22,18.0,8.14,0.89,0.56,2,0.15,4,ryanair,1,4,new york,4,0.78,4,4,hilton,5,2.22,2487.97,802.3,802.3,4,4,0,0,1,0,0,5,4,2,1,2,0,0.35,0.19,0.56,0.0
348817,f,False,False,canada,calgary,yyc,29,26,8,1.94,15.62,8.01,0.38,0.25,1,0.05,3,allegiant air,1,3,montreal,3,0.5,4,4,choice hotels,4,2.0,2651.48,629.08,629.08,4,3,0,0,0,1,0,4,4,1,2,1,0,0.31,0.15,0.5,0.0
348863,f,True,False,usa,san antonio,skf,68,26,8,1.24,10.12,8.1,0.0,0.0,1,0.1,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,8,0,0,0,0,0,0,0,8,0,0,0,0,0.31,0.0,0.0,
349132,f,False,False,usa,cincinnati,cvg,49,26,9,1.84,14.78,8.02,0.44,0.11,1,0.1,2,delta air lines,1,2,montreal,2,0.56,3,3,best western,3,2.11,1057.67,482.9,458.27,6,2,0,0,0,1,0,3,6,3,0,0,0,0.35,0.12,0.33,0.0
350648,f,False,False,usa,lincoln,lnk,18,26,8,13.45,36.88,7.18,0.25,0.0,2,0.22,1,american airlines,1,1,san antonio,1,0.25,1,1,hyatt,2,1.25,1266.44,238.04,238.04,6,2,0,0,0,0,1,1,6,2,0,0,0,0.31,0.08,0.25,0.5
353271,f,False,True,usa,milwaukee,mke,27,26,7,1.1,8.71,7.95,0.0,0.0,2,0.15,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,7,0,0,0,0,0,0,0,7,0,0,0,0,0.27,0.0,0.0,
353694,f,False,True,usa,new york,lga,40,26,8,1.54,12.5,8.05,0.38,0.12,3,0.08,2,southwest airlines,1,2,chicago,2,0.38,2,2,choice hotels,2,1.62,1355.48,212.67,212.67,6,1,1,0,0,0,0,2,6,2,0,0,0,0.31,0.08,0.25,0.0
354050,f,False,False,usa,detroit,det,50,26,8,2.65,21.5,8.18,0.75,0.12,2,0.05,5,airtran airways,1,5,austin,5,0.75,5,4,accor,5,2.88,2150.17,558.86,546.0,3,4,1,0,0,0,0,5,3,3,1,1,0,0.31,0.19,0.62,0.0
354260,f,False,False,usa,providence,pvd,50,26,8,1.8,14.5,8.07,0.25,0.25,2,0.15,2,jetblue airways,1,2,fresno,2,0.12,1,1,banyan tree,2,0.88,3329.33,243.13,243.13,6,1,0,0,1,0,0,2,6,0,0,1,1,0.31,0.08,0.25,0.0
354311,f,True,False,usa,tucson,dma,46,26,8,1.53,12.25,7.9,0.25,0.12,1,0.1,1,american airlines,1,2,detroit,2,0.12,1,1,radisson,2,0.88,3061.8,182.61,182.61,6,1,0,0,1,0,0,2,6,1,0,1,0,0.31,0.08,0.25,0.0
354950,m,True,False,usa,amarillo,ama,54,26,8,1.57,12.5,7.92,0.12,0.12,1,0.1,1,air canada,1,1,ottawa,1,0.12,1,1,rosewood,1,1.0,2463.06,168.69,168.69,7,1,0,0,0,0,0,1,7,1,0,0,0,0.31,0.04,0.12,0.0
356046,f,False,False,canada,ottawa,yow,35,26,8,1.57,12.62,8.01,0.38,0.0,2,0.1,2,delta air lines,1,2,hamilton,2,0.38,2,2,aman resorts,2,1.0,1897.0,172.23,172.23,6,2,0,0,0,0,0,2,6,1,1,0,0,0.31,0.08,0.25,0.0
357737,f,True,True,usa,san diego,san,42,26,8,18.35,52.38,7.32,0.62,0.25,3,0.08,4,cebu pacific,1,3,new york,4,0.75,5,4,crowne plaza,6,4.25,2470.61,814.61,798.8,2,5,0,0,0,1,1,5,2,4,1,1,0,0.31,0.23,0.75,0.17
359072,f,True,True,canada,montreal,yul,52,26,8,16.39,39.75,7.1,0.5,0.12,2,0.2,3,united airlines,1,3,memphis,3,0.5,3,3,radisson,4,2.25,1089.67,256.68,256.68,4,4,0,0,0,0,1,3,4,2,2,0,0,0.31,0.15,0.5,0.25
359080,f,True,False,usa,new york,jfk,42,26,8,1.98,15.75,7.96,0.62,0.5,2,0.15,4,air canada,1,4,calgary,4,0.25,2,1,wyndham,4,3.62,4617.66,901.7,886.24,4,2,0,0,2,0,0,4,4,1,1,1,1,0.31,0.15,0.5,0.0
359653,m,False,False,canada,victoria,yyj,56,26,8,1.97,15.88,8.08,0.25,0.25,3,0.13,2,american airlines,1,2,fort worth,2,0.25,2,2,four seasons,2,1.0,2238.6,239.79,225.53,6,2,0,0,0,0,0,2,6,0,0,2,0,0.31,0.08,0.25,0.0
361459,f,True,True,usa,houston,efd,42,26,8,0.93,7.38,7.82,0.12,0.12,2,0.12,1,qatar airways,1,1,new york,1,0.12,1,1,banyan tree,1,0.5,2289.6,90.49,90.49,7,1,0,0,0,0,0,1,7,0,1,0,0,0.31,0.04,0.12,0.0
361759,f,True,False,canada,winnipeg,ywg,53,26,8,1.4,11.38,8.16,0.38,0.25,4,0.15,2,american airlines,1,3,charlotte,3,0.25,2,2,hyatt,3,1.25,2332.3,198.01,193.99,5,2,0,0,1,0,0,3,5,0,0,3,0,0.31,0.12,0.38,0.0
363535,f,False,False,usa,charlotte,clt,31,26,7,15.78,31.86,6.98,0.43,0.29,2,0.22,2,southwest airlines,1,2,dallas,2,0.43,2,2,crowne plaza,3,2.29,1951.68,493.33,493.33,4,2,1,0,0,0,1,2,4,3,0,0,0,0.27,0.12,0.43,0.33
365825,f,False,False,usa,los angeles,lax,45,26,8,17.38,44.38,7.4,0.12,0.12,1,0.1,1,airtran airways,1,1,las vegas,1,0.62,2,2,aman resorts,3,2.88,380.02,417.45,417.45,5,2,0,0,0,1,1,2,5,2,1,0,0,0.31,0.12,0.38,0.33
371201,m,False,True,usa,new york,jfk,28,26,8,1.62,13.12,8.04,0.12,0.38,2,0.22,1,aeroméxico,1,1,indianapolis,1,0.0,0,0,,1,1.25,1067.27,24.93,24.93,7,0,0,0,1,0,0,1,7,1,0,0,0,0.31,0.04,0.12,0.0
372970,f,False,False,usa,charlotte,clt,34,26,7,1.18,9.29,7.75,0.14,0.0,3,0.18,1,air canada,1,1,vancouver,1,0.14,1,1,rosewood,1,0.57,3749.65,180.89,180.89,6,1,0,0,0,0,0,1,6,0,0,1,0,0.27,0.04,0.14,0.0
373489,f,True,True,usa,wichita,ict,38,26,9,1.61,13.11,8.14,0.44,0.33,6,0.19,1,japan airlines,1,1,osaka,1,0.22,1,1,aman resorts,1,1.56,10288.14,901.59,676.19,8,1,0,0,0,0,0,1,8,1,0,0,0,0.35,0.04,0.11,0.0
374331,m,False,False,usa,milwaukee,mke,43,26,8,17.19,42.25,7.0,0.25,0.25,3,0.22,1,southwest airlines,1,1,dallas,1,0.25,1,1,best western,3,1.88,1368.89,514.07,514.07,5,1,0,0,1,1,1,2,5,1,1,1,0,0.31,0.12,0.38,0.33
374340,f,True,False,usa,new york,lga,35,26,9,1.07,8.67,8.17,0.22,0.11,1,0.05,1,china eastern airlines,1,1,dalian,1,0.0,0,0,,1,1.11,11011.28,440.69,418.65,8,0,0,0,1,0,0,1,8,1,0,0,0,0.35,0.04,0.11,0.0
374341,f,False,False,usa,detroit,yip,26,26,8,1.64,13.12,8.05,0.0,0.0,1,0.1,0,,0,0,,0,0.75,3,3,banyan tree,3,3.12,,494.25,494.25,5,0,0,0,0,3,0,3,5,2,1,0,0,0.31,0.12,0.38,0.0
375160,f,False,False,usa,houston,efd,21,26,8,0.63,5.12,8.06,0.0,0.0,2,0.08,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,8,0,0,0,0,0,0,0,8,0,0,0,0,0.31,0.0,0.0,
